service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
99952,0,0,0,0,0,0,1,20140506,20151231
99953,0,0,0,0,0,0,1,20140506,20151231
99954,0,0,0,0,0,0,1,20140506,20151231
99955,0,0,0,0,0,0,1,20140506,20151231
99956,0,0,0,0,0,0,1,20140506,20151231
99957,0,0,0,0,0,0,1,20140506,20151231
99958,0,0,0,0,0,0,1,20140506,20151231
99959,1,1,1,1,1,0,0,20140506,20151231
99960,1,1,1,1,1,0,0,20140506,20151231
99961,1,1,1,1,1,0,0,20140506,20151231
99962,1,1,1,1,1,0,0,20140506,20151231
99963,0,0,0,0,0,1,1,20140506,20151231
99964,1,1,1,1,1,0,0,20140506,20151231
99965,1,1,1,1,1,0,0,20140506,20151231
99966,1,1,1,1,1,0,0,20140506,20151231
99967,1,1,1,1,1,0,0,20140506,20151231
99968,1,1,1,1,1,0,0,20140506,20151231
99969,1,1,1,1,1,0,0,20140506,20151231
99970,0,0,0,0,0,1,1,20140506,20151231
99971,1,1,1,1,1,0,0,20140506,20151231
99972,1,1,1,1,1,1,0,20140506,20151231
99973,0,0,0,0,0,0,1,20140506,20151231
99974,1,0,0,0,0,0,0,20140506,20151231
99975,1,0,0,0,0,0,0,20140506,20151231
99976,1,0,0,0,0,0,0,20140506,20151231
99977,1,0,0,0,0,0,0,20140506,20151231
99978,1,0,0,0,0,0,0,20140506,20151231
99979,0,0,0,0,0,0,1,20140506,20151231
99980,0,0,0,0,0,0,1,20140506,20151231
99981,0,0,0,0,0,0,1,20140506,20151231
99982,0,0,0,0,0,0,1,20140506,20151231
99983,0,0,0,0,0,0,1,20140506,20151231
99984,0,0,0,0,0,0,1,20140506,20151231
99985,0,0,0,0,0,0,1,20140506,20151231
99986,0,0,0,0,0,0,1,20140506,20151231
